split,sample,node_type,node_idx,true_b,true_h,pred_b_HGT,pred_h_HGT,pred_b_HAN,pred_h_HAN
external_test,sample_56,beam,263,10.0,10.0,37.33769226074219,29.18546295166016,33.386940002441406,27.42717933654785
external_test,sample_56,beam,264,10.0,10.0,37.30695343017578,29.12421417236328,32.133155822753906,26.374048233032227
external_test,sample_56,beam,265,10.0,10.0,37.23483276367188,29.068004608154297,31.54134178161621,25.94278717041016
external_test,sample_56,beam,266,10.0,10.0,37.13551712036133,29.01642227172852,31.315431594848636,25.813873291015625
external_test,sample_56,beam,306,10.0,10.0,36.33521270751953,28.842472076416016,31.68347930908203,26.349891662597656
external_test,sample_56,beam,307,10.0,10.0,36.00687026977539,28.87701416015625,32.232948303222656,26.50148582458496
external_test,sample_56,beam,308,10.0,10.0,36.036651611328125,28.85093307495117,31.95602226257324,26.251548767089844
external_test,sample_56,beam,309,10.0,10.0,36.0701789855957,28.83491325378418,31.75172996520996,26.09526252746582
external_test,sample_56,beam,310,10.0,10.0,36.10234069824219,28.82582664489746,31.598852157592773,26.011924743652344
external_test,sample_56,beam,311,10.0,10.0,36.1508903503418,28.820606231689453,31.60849952697754,26.0377254486084
external_test,sample_56,beam,312,10.0,10.0,36.20737457275391,28.817630767822266,31.61652374267578,26.10163688659668
external_test,sample_56,beam,313,10.0,10.0,36.26715850830078,28.81806945800781,31.639842987060547,26.200069427490234
external_test,sample_56,beam,314,10.0,10.0,36.335411071777344,28.834871292114254,31.60724830627441,26.24396324157715
external_test,sample_58,beam,148,10.0,10.0,35.94010925292969,28.91907501220703,33.66753387451172,27.65289688110352
external_test,sample_58,beam,149,10.0,10.0,35.96243667602539,28.915626525878903,33.40160369873047,27.355085372924805
external_test,sample_58,beam,150,10.0,10.0,35.99054336547852,28.910625457763672,33.26934051513672,27.280488967895508
external_test,sample_58,beam,151,10.0,10.0,36.00789260864258,28.898372650146484,33.01346969604492,27.13225555419922
external_test,sample_58,beam,152,10.0,10.0,36.06607437133789,28.887012481689453,33.021446228027344,27.13517189025879
external_test,sample_58,beam,153,10.0,10.0,36.13385772705078,28.881427764892575,33.11030197143555,27.227561950683597
external_test,sample_58,beam,154,10.0,10.0,36.17604064941406,28.880163192749023,33.155948638916016,27.3171501159668
external_test,sample_58,beam,155,10.0,10.0,35.93839263916016,28.930156707763672,33.6805534362793,27.686500549316406
external_test,sample_58,beam,156,10.0,10.0,35.966163635253906,28.9310245513916,33.55019760131836,27.488142013549805
external_test,sample_58,beam,157,10.0,10.0,35.98503494262695,28.92071533203125,33.223487854003906,27.28012084960937
external_test,sample_58,beam,158,10.0,10.0,36.02302169799805,28.91450309753418,33.1999626159668,27.27496719360352
external_test,sample_58,beam,159,10.0,10.0,36.0742301940918,28.90117073059082,33.07837677001953,27.191139221191406
external_test,sample_58,beam,160,10.0,10.0,36.14703750610352,28.897632598876957,33.22807312011719,27.31122398376465
external_test,sample_58,beam,161,10.0,10.0,36.20057678222656,28.899303436279297,33.330589294433594,27.437292098999023
external_test,sample_7,beam,16,5.0,5.0,36.0699462890625,28.754077911376957,31.644960403442383,25.740922927856445
external_test,sample_7,beam,17,5.0,5.0,36.106712341308594,28.74935913085937,31.304649353027344,25.43663215637207
external_test,sample_7,beam,18,5.0,5.0,36.139869689941406,28.751489639282227,31.67710876464844,25.723262786865234
external_test,sample_7,beam,19,5.0,5.0,36.14786148071289,28.750850677490234,31.565073013305664,25.63977432250977
external_test,sample_7,beam,20,5.0,5.0,36.16994857788086,28.764503479003903,32.191307067871094,26.125680923461918
external_test,sample_7,beam,21,5.0,5.0,36.64521789550781,28.773849487304688,31.88368034362793,25.661998748779297
external_test,sample_7,beam,22,5.0,5.0,36.41276931762695,28.73287773132324,31.37314224243164,25.26404571533203
external_test,sample_7,beam,23,5.0,5.0,36.545387268066406,28.742755889892575,31.43153190612793,25.32756233215332
external_test,sample_7,beam,27,5.0,5.0,36.60799789428711,28.753154754638672,31.67301368713379,25.506874084472656
external_test,sample_7,beam,30,5.0,5.0,36.62412643432617,28.756362915039062,31.636066436767575,25.494104385375977
external_test,sample_7,beam,31,5.0,5.0,36.19880294799805,28.772640228271484,32.0758056640625,25.98369407653809
external_test,sample_7,beam,32,5.0,5.0,36.07345581054688,28.74820327758789,31.54891967773437,25.53723907470703
external_test,sample_7,beam,33,5.0,5.0,36.10226058959961,28.7418270111084,31.27444839477539,25.32132148742676
external_test,sample_7,beam,38,5.0,5.0,36.14970016479492,28.74720764160156,31.50097274780273,25.52021789550781
external_test,sample_7,beam,43,5.0,5.0,36.17591857910156,28.753921508789062,31.56224632263184,25.582733154296875
